Yahoo Ticker,Name,Sector,Asset Class,Location,Ticker,Exchange,Currency
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,United States,TMO,New York Stock Exchange Inc.,USD
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,United States,CSCO,NASDAQ,USD
AZN.L,ASTRAZENECA PLC,Health Care,Equity,United Kingdom,AZN,London Stock Exchange,GBP
ROG.SW,ROCHE HOLDING PAR AG,Health Care,Equity,Switzerland,ROG,SIX Swiss Exchange,CHF
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,United States,MCD,New York Stock Exchange Inc.,USD
DIS,WALT DISNEY,Communication,Equity,United States,DIS,New York Stock Exchange Inc.,USD
ABT,ABBOTT LABORATORIES,Health Care,Equity,United States,ABT,New York Stock Exchange Inc.,USD
NOVN.SW,NOVARTIS AG,Health Care,Equity,Switzerland,NOVN,SIX Swiss Exchange,CHF
WFC,WELLS FARGO,Financials,Equity,United States,WFC,New York Stock Exchange Inc.,USD
DHR,DANAHER CORP,Health Care,Equity,United States,DHR,New York Stock Exchange Inc.,USD
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,United States,ACN,New York Stock Exchange Inc.,USD
CMCSA,COMCAST CORP CLASS A,Communication,Equity,United States,CMCSA,NASDAQ,USD
ADBE,ADOBE INC,Information Technology,Equity,United States,ADBE,NASDAQ,USD
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,United States,VZ,New York Stock Exchange Inc.,USD
CRM,SALESFORCE INC,Information Technology,Equity,United States,CRM,New York Stock Exchange Inc.,USD
BHP.AX,BHP GROUP LTD,Materials,Equity,Australia,BHP,Asx - All Markets,AUD
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,United States,TXN,NASDAQ,USD
LIN,LINDE PLC,Materials,Equity,United States,LIN,New York Stock Exchange Inc.,USD
TTE.PA,TOTALENERGIES,Energy,Equity,France,TTE,Nyse Euronext - Euronext Paris,EUR
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,United States,PM,New York Stock Exchange Inc.,USD
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,United States,NKE,New York Stock Exchange Inc.,USD
NFLX,NETFLIX INC,Communication,Equity,United States,NFLX,NASDAQ,USD
7203.T,TOYOTA MOTOR CORP,Consumer Discretionary,Equity,Japan,7203,Tokyo Stock Exchange,JPY
