Yahoo Ticker,Name,Sector,Asset Class,Location,Ticker,Exchange,Currency
AHT.L,ASHTEAD GROUP PLC,Industrials,Equity,United Kingdom,AHT,London Stock Exchange,GBP
WKL.AS,WOLTERS KLUWER NV,Industrials,Equity,Netherlands,WKL,Euronext Amsterdam,EUR
GWW,WW GRAINGER INC,Industrials,Equity,United States,GWW,New York Stock Exchange Inc.,USD
LSEG.L,LONDON STOCK EXCHANGE GROUP PLC,Financials,Equity,United Kingdom,LSEG,London Stock Exchange,GBP
KHC,KRAFT HEINZ,Consumer Staples,Equity,United States,KHC,NASDAQ,USD
ABX.TO,BARRICK GOLD CORP,Materials,Equity,Canada,ABX,Toronto Stock Exchange,CAD
VWS.CO,VESTAS WIND SYSTEMS,Industrials,Equity,Denmark,VWS,Omx Nordic Exchange Copenhagen A/S,DKK
CBRE,CBRE GROUP INC CLASS A,Real Estate,Equity,United States,CBRE,New York Stock Exchange Inc.,USD
SLF.TO,SUN LIFE FINANCIAL INC,Financials,Equity,Canada,SLF,Toronto Stock Exchange,CAD
CDW,CDW CORP,Information Technology,Equity,United States,CDW,NASDAQ,USD
TCL.AX,TRANSURBAN GROUP STAPLED UNITS,Industrials,Equity,Australia,TCL,Asx - All Markets,AUD
CPRT,COPART INC,Industrials,Equity,United States,CPRT,NASDAQ,USD
APO,APOLLO GLOBAL MANAGEMENT INC,Financials,Equity,United States,APO,New York Stock Exchange Inc.,USD
RSG,REPUBLIC SERVICES INC,Industrials,Equity,United States,RSG,New York Stock Exchange Inc.,USD
VRSK,VERISK ANALYTICS INC,Industrials,Equity,United States,VRSK,NASDAQ,USD
WEC,WEC ENERGY GROUP INC,Utilities,Equity,United States,WEC,New York Stock Exchange Inc.,USD
IT,GARTNER INC,Information Technology,Equity,United States,IT,New York Stock Exchange Inc.,USD
GLW,CORNING INC,Information Technology,Equity,United States,GLW,New York Stock Exchange Inc.,USD
MTB,M&T BANK CORP,Financials,Equity,United States,MTB,New York Stock Exchange Inc.,USD
GIVN.SW,GIVAUDAN SA,Materials,Equity,Switzerland,GIVN,SIX Swiss Exchange,CHF
SGO.PA,COMPAGNIE DE SAINT GOBAIN SA,Industrials,Equity,France,SGO,Nyse Euronext - Euronext Paris,EUR
CEG,CONSTELLATION ENERGY CORP,Utilities,Equity,United States,CEG,NASDAQ,USD
KDP,KEURIG DR PEPPER INC,Consumer Staples,Equity,United States,KDP,NASDAQ,USD
WTW,WILLIS TOWERS WATSON PLC,Financials,Equity,United States,WTW,NASDAQ,USD
ENPH,ENPHASE ENERGY INC,Information Technology,Equity,United States,ENPH,NASDAQ,USD
2914.T,JAPAN TOBACCO INC,Consumer Staples,Equity,Japan,2914,Tokyo Stock Exchange,JPY
ES,EVERSOURCE ENERGY,Utilities,Equity,United States,ES,New York Stock Exchange Inc.,USD
TROW,T ROWE PRICE GROUP INC,Financials,Equity,United States,TROW,NASDAQ,USD
TTD,TRADE DESK INC CLASS A,Communication,Equity,United States,TTD,NASDAQ,USD
ULTA,ULTA BEAUTY INC,Consumer Discretionary,Equity,United States,ULTA,NASDAQ,USD
WBA,WALGREEN BOOTS ALLIANCE INC,Consumer Staples,Equity,United States,WBA,NASDAQ,USD
FNV.TO,FRANCO NEVADA CORP,Materials,Equity,Canada,FNV,Toronto Stock Exchange,CAD
DSY.PA,DASSAULT SYSTEMES,Information Technology,Equity,France,DSY,Nyse Euronext - Euronext Paris,EUR
TSCO,TRACTOR SUPPLY,Consumer Discretionary,Equity,United States,TSCO,NASDAQ,USD
4503.T,ASTELLAS PHARMA INC,Health Care,Equity,Japan,4503,Tokyo Stock Exchange,JPY
AWK,AMERICAN WATER WORKS INC,Utilities,Equity,United States,AWK,New York Stock Exchange Inc.,USD
ADS.DE,ADIDAS N AG,Consumer Discretionary,Equity,Germany,ADS,Xetra,EUR
CVE.TO,CENOVUS ENERGY INC,Energy,Equity,Canada,CVE,Toronto Stock Exchange,CAD
HEIA.AS,HEINEKEN NV,Consumer Staples,Equity,Netherlands,HEIA,Euronext Amsterdam,EUR
FMG.AX,FORTESCUE METALS GROUP LTD,Materials,Equity,Australia,FMG,Asx - All Markets,AUD
LYB,LYONDELLBASELL INDUSTRIES NV CLASS,Materials,Equity,United States,LYB,New York Stock Exchange Inc.,USD
EIX,EDISON INTERNATIONAL,Utilities,Equity,United States,EIX,New York Stock Exchange Inc.,USD
IFC.TO,INTACT FINANCIAL CORP,Financials,Equity,Canada,IFC,Toronto Stock Exchange,CAD
ENGI.PA,ENGIE SA,Utilities,Equity,France,ENGI,Nyse Euronext - Euronext Paris,EUR
ARE,ALEXANDRIA REAL ESTATE EQUITIES RE,Real Estate,Equity,United States,ARE,New York Stock Exchange Inc.,USD
EBAY,EBAY INC,Consumer Discretionary,Equity,United States,EBAY,NASDAQ,USD
EFX,EQUIFAX INC,Industrials,Equity,United States,EFX,New York Stock Exchange Inc.,USD
NOKIA.HE,NOKIA,Information Technology,Equity,Finland,NOKIA,Nasdaq Omx Helsinki Ltd.,EUR
GPC,GENUINE PARTS,Consumer Discretionary,Equity,United States,GPC,New York Stock Exchange Inc.,USD
ZBH,ZIMMER BIOMET HOLDINGS INC,Health Care,Equity,United States,ZBH,New York Stock Exchange Inc.,USD
VOW3.DE,VOLKSWAGEN NON-VOTING PREF AG,Consumer Discretionary,Equity,Germany,VOW3,Xetra,EUR
FITB,FIFTH THIRD BANCORP,Financials,Equity,United States,FITB,NASDAQ,USD
LR.PA,LEGRAND SA,Industrials,Equity,France,LR,Nyse Euronext - Euronext Paris,EUR
MRK.DE,MERCK,Health Care,Equity,Germany,MRK,Xetra,EUR
SE.SI,SEA ADS REPRESENTING LTD CLASS A,Communication,Equity,Singapore,SE,New York Stock Exchange Inc.,SGD
AVB,AVALONBAY COMMUNITIES REIT INC,Real Estate,Equity,United States,AVB,New York Stock Exchange Inc.,USD
HZNP,HORIZON THERAPEUTICS PUBLIC PLC,Health Care,Equity,United States,HZNP,NASDAQ,USD
NA.TO,NATIONAL BANK OF CANADA,Financials,Equity,Canada,,Toronto Stock Exchange,CAD
ABC,AMERISOURCEBERGEN CORP,Health Care,Equity,United States,ABC,New York Stock Exchange Inc.,USD
EVO.ST,EVOLUTION,Consumer Discretionary,Equity,Sweden,EVO,Nasdaq Omx Nordic,SEK
LEN,LENNAR A CORP,Consumer Discretionary,Equity,United States,LEN,New York Stock Exchange Inc.,USD
6702.T,FUJITSU LTD,Information Technology,Equity,Japan,6702,Tokyo Stock Exchange,JPY
VMC,VULCAN MATERIALS,Materials,Equity,United States,VMC,New York Stock Exchange Inc.,USD
LH,LABORATORY CORPORATION OF AMERICA,Health Care,Equity,United States,LH,New York Stock Exchange Inc.,USD
FANG,DIAMONDBACK ENERGY INC,Energy,Equity,United States,FANG,NASDAQ,USD
WY,WEYERHAEUSER REIT,Real Estate,Equity,United States,WY,New York Stock Exchange Inc.,USD
6902.T,DENSO CORP,Consumer Discretionary,Equity,Japan,6902,Tokyo Stock Exchange,JPY
PGHN.SW,PARTNERS GROUP HOLDING AG,Financials,Equity,Switzerland,PGHN,SIX Swiss Exchange,CHF
ALGN,ALIGN TECHNOLOGY INC,Health Care,Equity,United States,ALGN,NASDAQ,USD
VMW,VMWARE CLASS A INC,Information Technology,Equity,United States,VMW,New York Stock Exchange Inc.,USD
SAMPO.HE,SAMPO,Financials,Equity,Finland,SAMPO,Nasdaq Omx Helsinki Ltd.,EUR
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Materials,Equity,United States,IFF,New York Stock Exchange Inc.,USD
ASSA-B.ST,ASSA ABLOY B,Industrials,Equity,Sweden,ASSA B,Nasdaq Omx Nordic,SEK
0016.HK,SUN HUNG KAI PROPERTIES LTD,Real Estate,Equity,Hong Kong,16,Hong Kong Exchanges And Clearing Ltd,HKD
EQR,EQUITY RESIDENTIAL REIT,Real Estate,Equity,United States,EQR,New York Stock Exchange Inc.,USD
VEEV,VEEVA SYSTEMS INC CLASS A,Health Care,Equity,United States,VEEV,New York Stock Exchange Inc.,USD
6594.T,NIDEC CORP,Industrials,Equity,Japan,6594,Tokyo Stock Exchange,JPY
EOAN.DE,E.ON N,Utilities,Equity,Germany,EOAN,Xetra,EUR
REP.MC,REPSOL SA,Energy,Equity,Spain,REP,Bolsa De Madrid,EUR
ANSS,ANSYS INC,Information Technology,Equity,United States,ANSS,NASDAQ,USD
DSM.AS,KONINKILIJKE DSM NV,Materials,Equity,Netherlands,DSM,Euronext Amsterdam,EUR
HIG,HARTFORD FINANCIAL SERVICES GROUP,Financials,Equity,United States,HIG,New York Stock Exchange Inc.,USD
FTV,FORTIVE CORP,Industrials,Equity,United States,FTV,New York Stock Exchange Inc.,USD
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity,United States,CRWD,NASDAQ,USD
7733.T,OLYMPUS CORP,Health Care,Equity,Japan,7733,Tokyo Stock Exchange,JPY
ACGL,ARCH CAPITAL GROUP LTD,Financials,Equity,United States,ACGL,NASDAQ,USD
SAND.ST,SANDVIK,Industrials,Equity,Sweden,SAND,Nasdaq Omx Nordic,SEK
IR,INGERSOLL RAND INC,Industrials,Equity,United States,IR,New York Stock Exchange Inc.,USD
WST,WEST PHARMACEUTICAL SERVICES INC,Health Care,Equity,United States,WST,New York Stock Exchange Inc.,USD
TSCO.L,TESCO PLC,Consumer Staples,Equity,United Kingdom,TSCO,London Stock Exchange,GBP
STLD,STEEL DYNAMICS INC,Materials,Equity,United States,STLD,NASDAQ,USD
MLM,MARTIN MARIETTA MATERIALS INC,Materials,Equity,United States,MLM,New York Stock Exchange Inc.,USD
GMG.AX,GOODMAN GROUP UNITS,Real Estate,Equity,Australia,GMG,Asx - All Markets,AUD
PCG,PG&E CORP,Utilities,Equity,United States,PCG,New York Stock Exchange Inc.,USD
HBAN,HUNTINGTON BANCSHARES INC,Financials,Equity,United States,HBAN,NASDAQ,USD
6503.T,MITSUBISHI ELECTRIC CORP,Industrials,Equity,Japan,6503,Tokyo Stock Exchange,JPY
RF,REGIONS FINANCIAL CORP,Financials,Equity,United States,RF,New York Stock Exchange Inc.,USD
QSR.TO,RESTAURANTS BRANDS INTERNATIONAL I,Consumer Discretionary,Equity,Canada,QSR,Toronto Stock Exchange,CAD
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIE,Industrials,Equity,United States,WAB,New York Stock Exchange Inc.,USD
CLX,CLOROX,Consumer Staples,Equity,United States,CLX,New York Stock Exchange Inc.,USD
MOS,MOSAIC,Materials,Equity,United States,MOS,New York Stock Exchange Inc.,USD
BBY,BEST BUY CO INC,Consumer Discretionary,Equity,United States,BBY,New York Stock Exchange Inc.,USD
NET,CLOUDFLARE INC CLASS A,Information Technology,Equity,United States,NET,New York Stock Exchange Inc.,USD
CTRA,COTERRA ENERGY INC,Energy,Equity,United States,CTRA,New York Stock Exchange Inc.,USD
MKC,MCCORMICK & CO NON-VOTING INC,Consumer Staples,Equity,United States,MKC,New York Stock Exchange Inc.,USD
6971.T,KYOCERA CORP,Information Technology,Equity,Japan,6971,Tokyo Stock Exchange,JPY
KEY,KEYCORP,Financials,Equity,United States,KEY,New York Stock Exchange Inc.,USD
MRO,MARATHON OIL CORP,Energy,Equity,United States,MRO,New York Stock Exchange Inc.,USD
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Communication,Equity,United States,TTWO,NASDAQ,USD
PUB.PA,PUBLICIS GROUPE SA,Communication,Equity,France,PUB,Nyse Euronext - Euronext Paris,EUR
CMS,CMS ENERGY CORP,Utilities,Equity,United States,CMS,New York Stock Exchange Inc.,USD
ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,Information Technology,Equity,United States,ZBRA,NASDAQ,USD
DGX,QUEST DIAGNOSTICS INC,Health Care,Equity,United States,DGX,New York Stock Exchange Inc.,USD
TSN,TYSON FOODS INC CLASS A,Consumer Staples,Equity,United States,TSN,New York Stock Exchange Inc.,USD
SLHN.SW,SWISS LIFE HOLDING AG,Financials,Equity,Switzerland,SLHN,SIX Swiss Exchange,CHF
AMCR,AMCOR PLC,Materials,Equity,United States,AMCR,New York Stock Exchange Inc.,USD
CAG,CONAGRA BRANDS INC,Consumer Staples,Equity,United States,CAG,New York Stock Exchange Inc.,USD
AES,AES CORP,Utilities,Equity,United States,AES,New York Stock Exchange Inc.,USD
4452.T,KAO CORP,Consumer Staples,Equity,Japan,4452,Tokyo Stock Exchange,JPY
CNP,CENTERPOINT ENERGY INC,Utilities,Equity,United States,CNP,New York Stock Exchange Inc.,USD
0001.HK,CK HUTCHISON HOLDINGS LTD,Industrials,Equity,Hong Kong,1,Hong Kong Exchanges And Clearing Ltd,HKD
KNEBV.HE,KONE,Industrials,Equity,Finland,KNEBV,Nasdaq Omx Helsinki Ltd.,EUR
IEX,IDEX CORP,Industrials,Equity,United States,IEX,New York Stock Exchange Inc.,USD
TER,TERADYNE INC,Information Technology,Equity,United States,TER,NASDAQ,USD
8802.T,MITSUBISHI ESTATE CO LTD,Real Estate,Equity,Japan,8802,Tokyo Stock Exchange,JPY
4543.T,TERUMO CORP,Health Care,Equity,Japan,4543,Tokyo Stock Exchange,JPY
FMC,FMC CORP,Materials,Equity,United States,FMC,New York Stock Exchange Inc.,USD
K,KELLOGG,Consumer Staples,Equity,United States,K,New York Stock Exchange Inc.,USD
RCL,ROYAL CARIBBEAN GROUP LTD,Consumer Discretionary,Equity,United States,RCL,New York Stock Exchange Inc.,USD
PKI,PERKINELMER INC,Health Care,Equity,United States,PKI,New York Stock Exchange Inc.,USD
RCI-B.TO,ROGERS COMMUNICATIONS NON-VOTING I,Communication,Equity,Canada,RCI.B,Toronto Stock Exchange,CAD
NIBE-B.ST,NIBE INDUSTRIER CLASS B,Industrials,Equity,Sweden,NIBE B,Nasdaq Omx Nordic,SEK
MOH,MOLINA HEALTHCARE INC,Health Care,Equity,United States,MOH,New York Stock Exchange Inc.,USD
COO,COOPER INC,Health Care,Equity,United States,COO,New York Stock Exchange Inc.,USD
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Information Technology,Equity,United States,BR,New York Stock Exchange Inc.,USD
DOL.TO,DOLLARAMA INC,Consumer Discretionary,Equity,Canada,DOL,Toronto Stock Exchange,CAD
ORSTED.CO,ORSTED,Utilities,Equity,Denmark,ORSTED,Omx Nordic Exchange Copenhagen A/S,DKK
ZM,ZOOM VIDEO COMMUNICATIONS INC CLAS,Information Technology,Equity,United States,ZM,NASDAQ,USD
FLT,FLEETCOR TECHNOLOGIES INC,Information Technology,Equity,United States,FLT,New York Stock Exchange Inc.,USD
9022.T,CENTRAL JAPAN RAILWAY,Industrials,Equity,Japan,9022,Tokyo Stock Exchange,JPY
TXT,TEXTRON INC,Industrials,Equity,United States,TXT,New York Stock Exchange Inc.,USD
HWM,HOWMET AEROSPACE INC,Industrials,Equity,United States,HWM,New York Stock Exchange Inc.,USD
ERIC-B.ST,ERICSSON B,Information Technology,Equity,Sweden,ERIC B,Nasdaq Omx Nordic,SEK
ATCO-B.ST,ATLAS COPCO CLASS B,Industrials,Equity,Sweden,ATCO B,Nasdaq Omx Nordic,SEK
LKQ,LKQ CORP,Consumer Discretionary,Equity,United States,LKQ,NASDAQ,USD
TEP.PA,TELEPERFORMANCE,Industrials,Equity,France,TEP,Nyse Euronext - Euronext Paris,EUR
ASM.AS,ASM INTERNATIONAL NV,Information Technology,Equity,Netherlands,ASM,Euronext Amsterdam,EUR
EXPE,EXPEDIA GROUP INC,Consumer Discretionary,Equity,United States,EXPE,NASDAQ,USD
GRMN,GARMIN LTD,Consumer Discretionary,Equity,United States,GRMN,New York Stock Exchange Inc.,USD
J,JACOBS SOLUTIONS INC,Industrials,Equity,United States,J,New York Stock Exchange Inc.,USD
ESSITY-B.ST,ESSITY CLASS B,Consumer Staples,Equity,Sweden,ESSITY B,Nasdaq Omx Nordic,SEK
CF,CF INDUSTRIES HOLDINGS INC,Materials,Equity,United States,CF,New York Stock Exchange Inc.,USD
8113.T,UNICHARM CORP,Consumer Staples,Equity,Japan,8113,Tokyo Stock Exchange,JPY
HUBS,HUBSPOT INC,Information Technology,Equity,United States,HUBS,New York Stock Exchange Inc.,USD
LRCX,LAM RESEARCH CORP,Information Technology,Equity,United States,LRCX,NASDAQ,USD
USB,US BANCORP,Financials,Equity,United States,USB,New York Stock Exchange Inc.,USD
BMO.TO,BANK OF MONTREAL,Financials,Equity,Canada,BMO,Toronto Stock Exchange,CAD
CME,CME GROUP INC CLASS A,Financials,Equity,United States,CME,NASDAQ,USD
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,United States,MU,NASDAQ,USD
BX,BLACKSTONE INC,Financials,Equity,United States,BX,New York Stock Exchange Inc.,USD
EQIX,EQUINIX REIT INC,Real Estate,Equity,United States,EQIX,NASDAQ,USD
AON,AON PLC CLASS A,Financials,Equity,United States,AON,New York Stock Exchange Inc.,USD
BSX,BOSTON SCIENTIFIC CORP,Health Care,Equity,United States,BSX,New York Stock Exchange Inc.,USD
CSX,CSX CORP,Industrials,Equity,United States,CSX,NASDAQ,USD
BNS.TO,BANK OF NOVA SCOTIA,Financials,Equity,Canada,BNS,Toronto Stock Exchange,CAD
HUM,HUMANA INC,Health Care,Equity,United States,HUM,New York Stock Exchange Inc.,USD
BAYN.DE,BAYER AG,Health Care,Equity,Germany,BAYN,Xetra,EUR
PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,Equity,United States,PNC,New York Stock Exchange Inc.,USD
WM,WASTE MANAGEMENT INC,Industrials,Equity,United States,WM,New York Stock Exchange Inc.,USD
TFC,TRUIST FINANCIAL CORP,Financials,Equity,United States,TFC,New York Stock Exchange Inc.,USD
MPC,MARATHON PETROLEUM CORP,Energy,Equity,United States,MPC,New York Stock Exchange Inc.,USD
MMM,3M,Industrials,Equity,United States,MMM,New York Stock Exchange Inc.,USD
FCX,FREEPORT MCMORAN INC,Materials,Equity,United States,FCX,New York Stock Exchange Inc.,USD
MBG.DE,MERCEDES-BENZ GROUP N AG,Consumer Discretionary,Equity,Germany,MBG,Xetra,EUR
DG.PA,VINCI SA,Industrials,Equity,France,DG,Nyse Euronext - Euronext Paris,EUR
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,Equity,United States,APD,New York Stock Exchange Inc.,USD
CCI,CROWN CASTLE INC,Real Estate,Equity,United States,CCI,New York Stock Exchange Inc.,USD
HCA,HCA HEALTHCARE INC,Health Care,Equity,United States,HCA,New York Stock Exchange Inc.,USD
ATVI,ACTIVISION BLIZZARD INC,Communication,Equity,United States,ATVI,NASDAQ,USD
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,Equity,United States,ICE,New York Stock Exchange Inc.,USD
GM,GENERAL MOTORS,Consumer Discretionary,Equity,United States,GM,New York Stock Exchange Inc.,USD
RMS.PA,HERMES INTERNATIONAL,Consumer Discretionary,Equity,France,RMS,Nyse Euronext - Euronext Paris,EUR
MRNA,MODERNA INC,Health Care,Equity,United States,MRNA,NASDAQ,USD
4063.T,SHIN ETSU CHEMICAL LTD,Materials,Equity,Japan,4063,Tokyo Stock Exchange,JPY
OXY,OCCIDENTAL PETROLEUM CORP,Energy,Equity,United States,OXY,New York Stock Exchange Inc.,USD
CL,COLGATE-PALMOLIVE,Consumer Staples,Equity,United States,CL,New York Stock Exchange Inc.,USD
CS.PA,AXA SA,Financials,Equity,France,CS,Nyse Euronext - Euronext Paris,EUR
EL,ESTEE LAUDER INC CLASS A,Consumer Staples,Equity,United States,EL,New York Stock Exchange Inc.,USD
SNPS,SYNOPSYS INC,Information Technology,Equity,United States,SNPS,NASDAQ,USD
REL.L,RELX PLC,Industrials,Equity,United Kingdom,REL,London Stock Exchange,GBP
4568.T,DAIICHI SANKYO LTD,Health Care,Equity,Japan,4568,Tokyo Stock Exchange,JPY
SHW,SHERWIN WILLIAMS,Materials,Equity,United States,SHW,New York Stock Exchange Inc.,USD
KLAC,KLA CORP,Information Technology,Equity,United States,KLAC,NASDAQ,USD
EL.PA,ESSILORLUXOTTICA SA,Health Care,Equity,France,EL,Nyse Euronext - Euronext Paris,EUR
NSC,NORFOLK SOUTHERN CORP,Industrials,Equity,United States,NSC,New York Stock Exchange Inc.,USD
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,Equity,United States,ORLY,NASDAQ,USD
8766.T,TOKIO MARINE HOLDINGS INC,Financials,Equity,Japan,8766,Tokyo Stock Exchange,JPY
STZ,CONSTELLATION BRANDS INC CLASS A,Consumer Staples,Equity,United States,STZ,New York Stock Exchange Inc.,USD
LULU,LULULEMON ATHLETICA INC,Consumer Discretionary,Equity,United States,LULU,NASDAQ,USD
9434.T,SOFTBANK CORP,Communication,Equity,Japan,9434,Tokyo Stock Exchange,JPY
9983.T,FAST RETAILING LTD,Consumer Discretionary,Equity,Japan,9983,Tokyo Stock Exchange,JPY
ALC.SW,ALCON AG,Health Care,Equity,Switzerland,ALC,SIX Swiss Exchange,CHF
PAYX,PAYCHEX INC,Information Technology,Equity,United States,PAYX,NASDAQ,USD
CARR,CARRIER GLOBAL CORP,Industrials,Equity,United States,CARR,New York Stock Exchange Inc.,USD
ALL,ALLSTATE CORP,Financials,Equity,United States,ALL,New York Stock Exchange Inc.,USD
DSV.CO,DSV,Industrials,Equity,Denmark,DSV,Omx Nordic Exchange Copenhagen A/S,DKK
3382.T,SEVEN & I HOLDINGS LTD,Consumer Staples,Equity,Japan,3382,Tokyo Stock Exchange,JPY
SNOW,SNOWFLAKE CLASS A,Information Technology,Equity,United States,SNOW,New York Stock Exchange Inc.,USD
KMI,KINDER MORGAN INC,Energy,Equity,United States,KMI,New York Stock Exchange Inc.,USD
WBD,WARNER BROS. DISCOVERY INC SERIES,Communication,Equity,United States,WBD,NASDAQ,USD
OTIS,OTIS WORLDWIDE CORP,Industrials,Equity,United States,OTIS,New York Stock Exchange Inc.,USD
CRG.IR,CRH PLC,Materials,Equity,Ireland,CRG,Irish Stock Exchange - All Market,EUR
XEL,XCEL ENERGY INC,Utilities,Equity,United States,XEL,NASDAQ,USD
NEM,NEWMONT,Materials,Equity,United States,NEM,New York Stock Exchange Inc.,USD
ON,ON SEMICONDUCTOR CORP,Information Technology,Equity,United States,ON,NASDAQ,USD
CMI,CUMMINS INC,Industrials,Equity,United States,CMI,New York Stock Exchange Inc.,USD
DVN,DEVON ENERGY CORP,Energy,Equity,United States,DVN,New York Stock Exchange Inc.,USD
BN.PA,DANONE SA,Consumer Staples,Equity,France,BN,Nyse Euronext - Euronext Paris,EUR
ANET,ARISTA NETWORKS INC,Information Technology,Equity,United States,ANET,New York Stock Exchange Inc.,USD
WCN,WASTE CONNECTIONS INC,Industrials,Equity,United States,WCN,New York Stock Exchange Inc.,USD
MTD,METTLER TOLEDO INC,Health Care,Equity,United States,MTD,New York Stock Exchange Inc.,USD
HOLN.SW,HOLCIM LTD AG,Materials,Equity,Switzerland,HOLN,SIX Swiss Exchange,CHF
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Information Technology,Equity,United States,CTSH,NASDAQ,USD
WELL,WELLTOWER,Real Estate,Equity,United States,WELL,New York Stock Exchange Inc.,USD
BMW.DE,BMW AG,Consumer Discretionary,Equity,Germany,BMW,Xetra,EUR
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,Equity,United States,ODFL,NASDAQ,USD
HAL,HALLIBURTON,Energy,Equity,United States,HAL,New York Stock Exchange Inc.,USD
KEYS,KEYSIGHT TECHNOLOGIES INC,Information Technology,Equity,United States,KEYS,New York Stock Exchange Inc.,USD
HSY,HERSHEY FOODS,Consumer Staples,Equity,United States,HSY,New York Stock Exchange Inc.,USD
ROK,ROCKWELL AUTOMATION INC,Industrials,Equity,United States,ROK,New York Stock Exchange Inc.,USD
CSU.TO,CONSTELLATION SOFTWARE INC,Information Technology,Equity,Canada,CSU,Toronto Stock Exchange,CAD
STT,STATE STREET CORP,Financials,Equity,United States,STT,New York Stock Exchange Inc.,USD
BA.L,BAE SYSTEMS PLC,Industrials,Equity,United Kingdom,BA.,London Stock Exchange,GBP
LNG,CHENIERE ENERGY INC,Energy,Equity,United States,LNG,Nyse Mkt Llc,USD
ALB,ALBEMARLE CORP,Materials,Equity,United States,ALB,New York Stock Exchange Inc.,USD
BKR,BAKER HUGHES CLASS A,Energy,Equity,United States,BKR,NASDAQ,USD
AME,AMETEK INC,Industrials,Equity,United States,AME,New York Stock Exchange Inc.,USD
URI,UNITED RENTALS INC,Industrials,Equity,United States,URI,New York Stock Exchange Inc.,USD
ILMN,ILLUMINA INC,Health Care,Equity,United States,ILMN,NASDAQ,USD
DHI,D R HORTON INC,Consumer Discretionary,Equity,United States,DHI,New York Stock Exchange Inc.,USD
AD.AS,KONINKLIJKE AHOLD DELHAIZE NV,Consumer Staples,Equity,Netherlands,AD,Euronext Amsterdam,EUR
DLTR,DOLLAR TREE INC,Consumer Discretionary,Equity,United States,DLTR,NASDAQ,USD
VICI,VICI PPTYS INC,Real Estate,Equity,United States,VICI,New York Stock Exchange Inc.,USD
EXPN.L,EXPERIAN PLC,Industrials,Equity,United Kingdom,EXPN,London Stock Exchange,GBP
ITX.MC,INDUSTRIA DE DISENO TEXTIL INDITEX,Consumer Discretionary,Equity,Spain,ITX,Bolsa De Madrid,EUR
GPN,GLOBAL PAYMENTS INC,Information Technology,Equity,United States,GPN,New York Stock Exchange Inc.,USD
KKR,KKR AND CO INC,Financials,Equity,United States,KKR,New York Stock Exchange Inc.,USD
EQNR.OL,EQUINOR,Energy,Equity,Norway,EQNR,Oslo Bors Asa,NOK
ATCO-A.ST,ATLAS COPCO CLASS A,Industrials,Equity,Sweden,ATCO A,Nasdaq Omx Nordic,SEK
APTV,APTIV PLC,Consumer Discretionary,Equity,United States,APTV,New York Stock Exchange Inc.,USD
ED,CONSOLIDATED EDISON INC,Utilities,Equity,United States,ED,New York Stock Exchange Inc.,USD
CAP.PA,CAPGEMINI,Information Technology,Equity,France,CAP,Nyse Euronext - Euronext Paris,EUR
VOD.L,VODAFONE GROUP PLC,Communication,Equity,United Kingdom,VOD,London Stock Exchange,GBP
DLR,DIGITAL REALTY TRUST REIT INC,Real Estate,Equity,United States,DLR,New York Stock Exchange Inc.,USD
EA,ELECTRONIC ARTS INC,Communication,Equity,United States,EA,NASDAQ,USD
VOLV-B.ST,VOLVO CLASS B,Industrials,Equity,Sweden,VOLV B,Nasdaq Omx Nordic,SEK
HPQ,HP INC,Information Technology,Equity,United States,HPQ,New York Stock Exchange Inc.,USD
DOV,DOVER CORP,Industrials,Equity,United States,DOV,New York Stock Exchange Inc.,USD
FE,FIRSTENERGY CORP,Utilities,Equity,United States,FE,New York Stock Exchange Inc.,USD
HEXA-B.ST,HEXAGON CLASS B,Information Technology,Equity,Sweden,HEXA B,Nasdaq Omx Nordic,SEK
AEM.TO,AGNICO EAGLE MINES LTD,Materials,Equity,Canada,AEM,Toronto Stock Exchange,CAD
ORA.PA,ORANGE SA,Communication,Equity,France,ORA,Nyse Euronext - Euronext Paris,EUR
PFG,PRINCIPAL FINANCIAL GROUP INC,Financials,Equity,United States,PFG,NASDAQ,USD
AEE,AMEREN CORP,Utilities,Equity,United States,AEE,New York Stock Exchange Inc.,USD
ETR,ENTERGY CORP,Utilities,Equity,United States,ETR,New York Stock Exchange Inc.,USD
DTE,DTE ENERGY,Utilities,Equity,United States,DTE,New York Stock Exchange Inc.,USD
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,Equity,United States,MPWR,NASDAQ,USD
HPE,HEWLETT PACKARD ENTERPRISE,Information Technology,Equity,United States,HPE,New York Stock Exchange Inc.,USD
TEF.MC,TELEFONICA SA,Communication,Equity,Spain,TEF,Bolsa De Madrid,EUR
